designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2927128587138365696,2927128587138365696,100.88524137663933,-20.4448542512991,1.3715589741366814,1.8572072,-1.0472550823130726,1.699218294723329,1.0534564,20.873634,1.254919,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.648235894465745
Gaia DR3 2926828179944675840,2926828179944675840,101.84679275039454,-21.287544273136938,1.4073260256105298,0.23694377,0.9327093138337036,-1.1875095733571523,1.0413678,19.262758,2.6325798,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6487231767601748
Gaia DR3 2926922664928566016,2926922664928566016,101.94287961802529,-21.228503784188465,1.3670791022494773,0.14580186,5.295761588704465,-11.619390371541012,1.0282097,18.473402,2.2260418,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3638.6099,4.4797,-0.4817,959.915,0.5784,0.3933,0.2326,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6489846917124338
Gaia DR3 2926974483711774720,2926974483711774720,102.20822454241996,-20.69983026920171,1.401421719428057,0.50540847,-0.2511574232000739,-1.1318934404256473,1.0112995,20.213963,1.6897678,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6506720834302373
Gaia DR3 2927257264362109568,2927257264362109568,101.37473727910373,-20.07711643250616,1.3877114049543713,0.01510556,-4.264497947682168,-1.6117886211452719,1.0162206,12.209842,0.6952038,24.78794,VARIABLE,0,true,true,false,true,false,false,true,6155.9956,4.0223,-0.3626,689.4135,0.0198,0.0169,0.0091,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.654440323882948
Gaia DR3 2926828175647141504,2926828175647141504,101.85084921477187,-21.294303212888124,1.3743846115089458,0.15470418,-4.846527721208801,-1.2163420724727885,1.0055335,18.700129,2.445301,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3389.8591,4.6093,-0.8538,437.4366,0.6417,0.4208,0.2606,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6564669012364778
Gaia DR3 2926974685570892032,2926974685570892032,102.2142957535193,-20.665108205808192,1.400898766075472,0.7715954,-0.7823666540395458,2.10538458152369,1.0732796,20.453009,1.2368965,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6583330228980436
Gaia DR3 2927126044520610432,2927126044520610432,100.83316759356461,-20.54655376176245,1.409366604511097,0.028621756,-4.3517600651391675,-1.4704449225543266,1.0376064,15.478422,1.1541157,,VARIABLE,0,true,false,false,true,false,true,true,4972.338,4.6208,-0.0777,675.4971,0.1928,0.1532,0.081,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6589889504553031
Gaia DR3 2927113365777645568,2927113365777645568,100.81154427177826,-20.79170807524135,1.3821784043160021,0.013143013,-4.522955973882878,-1.2929969512283859,1.0256705,13.16832,0.67378044,26.731682,VARIABLE,0,true,true,true,true,false,true,true,6147.4785,4.2453,-0.379,682.4389,0.0179,0.0153,0.0083,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6598960763991824
Gaia DR3 2927098041329829120,2927098041329829120,100.84301888252713,-20.932940882608563,1.3748698225837381,0.33361313,1.862209627312621,3.622963782500025,1.0676433,19.623562,2.3198166,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6617769590692854
