ra,dec,parallax,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
101.60428614254455,-20.702883617284808,1.5714396970450482,9.604602,-3.9701487612178625,-27.40549131192019,0.99275905,18.742834,19.826002,17.684557,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0869168382389337
101.4928337983239,-20.804187347027174,1.497644562837781,3.2216837,-2.5845676918268934,-18.81482606465056,1.0896615,19.957115,21.171427,18.83329,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08760403887851842
101.58594861289492,-20.774241483865183,1.286070534683782,13.908007,-4.144908148734601,-1.3777687641070437,1.0002627,17.802238,18.846619,16.800104,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08809528365501584
101.60743869090835,-20.717345739628193,1.255567205298824,0.95954055,0.41690725187014754,0.11993178282127999,0.91296136,20.72691,21.125517,20.173357,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08843486450630658
101.42313576349227,-20.69065104644898,1.3381701313418626,90.528984,-4.34370327067397,-1.3200390165995581,0.95274305,12.977702,13.211498,12.596188,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08850074178721805
101.49578248312108,-20.631285325341565,1.3775497530656091,95.04464,-4.505604861974678,-1.4311571020588478,1.0461142,13.009652,13.247047,12.628412,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0887870281710264
101.41750066004961,-20.715842304270705,1.4419883323076226,2.9241574,0.9299640048236723,-3.6258059931268987,1.0279615,20.245821,19.834438,18.692675,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08927312343471763
101.44691974507185,-20.78347846234065,1.480422704372451,1.7914164,-0.003679853473172179,1.0307190459092288,1.1177629,20.531452,20.920528,19.15312,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08952063002073626
101.54294173433371,-20.6334329020487,1.5049746733053517,8.753653,-2.0803446869149083,-3.162613391266378,1.1348513,18.68098,19.231052,17.511856,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08970065917846598
101.42019897605,-20.693614839029824,1.3750256560964857,38.965027,-4.373189255143231,-1.3550286591818206,1.1926795,7.8132257,7.767091,7.8538866,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.09024483249315737
